t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.154,-0.015524113605323046,0.06612262776847078,-0.14335612422152844,-0.21407376055259883,0.8318334878703411,-1.65897876451566,-0.809503927411057,2.1940063307345263,-2.3644687510055125,0.04039880254242762,0.0,0.5052958163351169
0.156,-0.01595842839759549,0.06780452681726386,-0.14669950764351242,-0.21715739613622262,0.84094952439654,-1.6716917109919913,-0.8223825495976239,2.213943880949717,-2.305399649163836,0.04129806425688137,0.0,0.5055494071663351
0.158,-0.016398892588900264,0.06950445324104682,-0.15006767084988895,-0.2202320956523858,0.8499632118914753,-1.6840816031882737,-0.8354847878293375,2.2335436559545556,-2.246006793631135,0.04220196610509799,0.0,0.5058109406117889
0.16,-0.01684548713773191,0.07122219856704493,-0.15345996227345274,-0.223297274415822,0.858872662999054,-1.696145711781887,-0.8488104955759487,2.252805563593622,-2.1863019349353277,0.04311028862648798,0.0,0.5060805025360233
0.162,-0.017298191847769002,0.07295755062087485,-0.1568757250523958,-0.22635235501854642,0.8676760269149639,-1.7078813894715377,-0.8623594979020677,2.271729561433591,-2.126296869536039,0.044022811597732664,0.0,0.5063581747698427
0.164,-0.01775698538287235,0.07471029360102985,-0.16031429719628007,-0.2293967675516751,0.8763714900775034,-1.7192860719421397,-0.876131591224838,2.2903156560265634,-2.066003436787307,0.04493931409309437,0.0,0.5066440349938232
0.166,-0.018221845282520157,0.07648020815471054,-0.16377501175386944,-0.23242994982390364,0.8849572768403501,-1.7303572787946846,-0.8901265430744111,2.308563902166664,-2.005433515895734,0.04585957454533808,0.0,0.5069381566251381
0.168,-0.018692747977672838,0.07826707145496306,-0.16725719698274868,-0.23545134757634092,0.8934316501262566,-1.7410926144396204,-0.9043440918575227,2.326474402140976,-1.9445990228761105,0.046783370807221045,0.0,0.5072406087078467
0.17,-0.01916966880705963,0.08007065727908441,-0.17076017652065328,-0.23846041469339477,0.9017929120606786,-1.751489768952302,-0.9187839466244312,2.3440473049758617,-1.8835119075064737,0.047710480213510695,0.0,0.5075514558067565
0.17200000000000001,-0.019652582033878447,0.08189073608825313,-0.17428326955843151,-0.2414566134094087,0.9100394045843623,-1.7615465188891137,-0.9334457868395539,2.361282805679721,-1.8221841502846348,0.04864067964348584,0.0,0.5078707579049758
0.17400000000000002,-0.02014146086289995,0.08372707510834101,-0.17782579101455734,-0.2444394145107516,0.9181695100439403,-1.7712607280629145,-0.9483292621560822,2.3781811444832406,-1.7606277593880957,0.049573745583877435,0.0,0.5081985703052818
0.176,-0.02063627745796608,0.08557943841186023,-0.18138705171111036,-0.24740829753306548,0.9261816517596103,-1.780630348276504,-0.9634339921948685,2.3947426060782084,-1.6988547676394057,0.05050945419220147,0.0,0.5085349435354184
0.178,-0.021137002959872843,0.08744758700099824,-0.18496635855113608,-0.2503627509533811,0.9340742945689995,-1.7896534200128642,-0.9787595663279454,2.4109675188559216,-1.6368772294788305,0.051447581360439115,0.0,0.5088799232574087
0.18,-0.021643607504626475,0.08933127889169093,-0.18856301469729805,-0.2533022723768165,0.9418459453463492,-1.798328073080986,-0.9943055434668973,2.426856254146248,-1.5747072179463544,0.05238790277901239,0.0,0.5092335501810115
0.182,-0.022156060242061633,0.0912302691986833,-0.19217631975173036,-0.25622636871757914,0.949495153496186,-1.806652527216155,-1.0100714518564593,2.442409225458386,-1.5123568216748366,0.05333019400100969,0.0,0.5095958599814071
0.184,-0.02267432935480963,0.09314431022152465,-0.19580556993699763,-0.2591345563739992,0.9570205114206803,-1.8146250926336314,-1.0260567888736303,2.4576268877243113,-1.4498381418963149,0.054274230506608054,0.0,0.5099668832212021
